ID,lnc_10,lnc_11,lnc_19,lnc_20,lnc_21,lnc_25,lnc_26,lnc_27,lnc_40,lnc_41,lnc_46,lnc_47,lnc_16,lnc_17,lnc_18,lnc_31,lnc_33,lnc_34,lnc_35,lnc_44,lnc_45,lnc_5,lnc_6,lnc_7,lnc_8,lnc_9,lnc_13,lnc_14,lnc_15,lnc_23,lnc_24,lnc_28,lnc_29,lnc_30,lnc_36,lnc_37,lnc_38,lnc_39
LINC-ARID1B-13,0,0.000202692,0.000579732,8.06E-05,3.41E-05,6.90E-05,0.00040705,0.000340945,0.000109145,0.000699196,0.00041793,0.000213786,0.000641059,0.000144268,0.000201924,0,0,0,0.000570617,0,0.000113462,0,0.000492402,0.000524194,0.00114395,0,0,0.000318869,0.000179284,0,0.00019023,0.000356172,0,0.000161048,0,0.000580064,0.000474668,0.000484637
LINC-ARID1B-2,0,0.000632381,0.00025493,0.000332527,8.20E-05,2.25E-05,0.000341293,0.001615657,0.000136647,0.000147292,0,4.17E-05,0.000472809,8.64E-05,0.001026865,0,0.000645124,3.15E-05,0.001145541,5.61E-05,0,4.93E-05,0.000855319,0.000272993,0.000370846,0.000535395,0,0.000436843,0.000702235,0,0.000607509,0.000146867,0.000336547,0,0,0.000322808,0,0.000756962
LINC-ARID2-1,0.000159794,0.000120592,0.00012291,0.000200319,5.49E-05,3.53E-05,0.000130994,0.000170427,4.32E-05,0.000124008,0.000131953,9.43E-05,0.000231815,0.000152301,0.000213113,0.000104522,0.000149366,3.26E-05,0.000315654,4.28E-05,1.81E-05,3.69E-05,0.000244961,0.000199007,0.000288848,0.000133794,4.96E-05,0.000274362,0.000145049,5.66E-05,0.000204569,0.000145316,0.000182945,0.000209195,0.000115459,0.000109012,0.000103399,0.000269906
LINC-ARID3B-1,0.000197293,9.47E-05,9.88E-05,6.13E-05,6.32E-05,3.84E-05,8.82E-05,8.15E-05,3.78E-05,0.000121789,9.56E-05,6.83E-05,0.000229068,7.73E-05,0.000144979,3.32E-05,7.85E-05,3.50E-05,0.000200696,1.58E-05,1.03E-05,7.97E-05,0.000276506,7.68E-05,0.000197247,0.000160111,7.72E-05,0.000211782,0.000159761,3.70E-05,0.00015115,7.51E-05,7.56E-05,0.00021445,0.00024152,8.10E-05,3.75E-05,0.000168275
LINC-ARL15-1,0.000134757,8.65E-05,4.51E-05,7.89E-05,3.29E-05,2.85E-05,0.000119059,0.000216444,1.45E-05,0.000130073,0.000156569,4.30E-05,0.000121609,8.72E-05,0.000133003,7.62E-05,0.000196386,1.88E-05,0.00014054,2.14E-05,8.69E-06,9.93E-06,0.000123865,0.000211131,0.000267359,0.000153655,3.66E-05,0.00015008,7.07E-05,3.41E-05,0.000110066,0.000122967,0.000111439,9.61E-05,8.24E-05,8.70E-05,3.45E-05,0.000206069
LINC-ARL15-4,0,0,5.57E-05,0,0,0,0.000308488,0.000871804,2.92E-05,0,0.00014313,0,0.000170672,0,0.0003138,0,0,3.43E-05,0,0,7.69E-05,0,0,0,0,0,0,0.000234526,0.000297609,2.54E-05,0,0,0.000179408,0.000244443,0,0,0,8.43E-05
LINC-ARL4A-4,5.56E-05,0.000210026,5.47E-05,6.56E-05,0.000106999,2.43E-05,6.33E-05,0.000353084,2.33E-05,0.000151781,0.000224604,0.00011557,0.00022491,6.03E-05,0.00022588,2.72E-05,0.000192501,2.21E-05,0.000179096,1.25E-05,0,0,0.000280019,0.000104851,0.000745855,0,9.40E-05,0.000226698,0.000134906,3.88E-05,5.53E-05,5.09E-05,0.000144049,0.000174704,0.000211121,3.94E-05,0.000112329,0.000261942
LINC-ARL4C-10,0.000192335,3.62E-05,4.76E-05,0.000244931,6.42E-05,5.19E-05,0.000168086,4.48E-05,2.84E-05,0,0,8.45E-05,0,0.000201905,0,0,3.69E-05,0,0.000415667,0,0,0,0.00067876,0,5.42E-06,8.08E-05,2.27E-05,0.000942261,0.000124897,0,0.000180308,0,0.00028532,0,0,0,0,0.000490894
LINC-ARL4C-2,0.000154028,6.85E-05,6.19E-05,0.000116231,6.33E-05,3.00E-05,4.52E-05,0.000231127,1.98E-05,9.78E-05,0.000101709,8.11E-05,6.85E-05,0.000134991,0.000253449,4.37E-05,0.000219,2.31E-05,0.000179859,2.06E-05,1.40E-05,2.85E-05,0.00018311,0.000181841,0.000145455,0.00012095,1.10E-05,5.73E-05,0.000151519,4.50E-05,0.000114539,0.000112049,0.000184461,7.68E-05,5.59E-05,5.06E-05,0.000102812,0.000376547
LINC-ARL4C-6,0.00015333,0.000132914,8.02E-05,0.000259757,8.19E-05,6.72E-05,0.000193448,0.000221238,7.50E-05,0.000269933,0.000144365,9.98E-05,7.02E-05,0.000107465,0.000216094,0.000131523,0.00028015,1.31E-05,0.000266177,1.37E-05,2.07E-05,2.43E-05,0.000336839,0.000175875,0.000179941,0.000218395,2.40E-05,0.000212699,0.000249962,9.83E-05,0.000303152,0.000249652,0.00018773,0.000198898,0.000186096,8.17E-05,0.000161129,0.000569647
